Chess pieces balance;M0;M1;M2;M3;M4;M5;M6;M7;M8;M9;M10;M11;M12;M13;M14;M15;M16;M17;M18;M19;M20;M21;M22;M23;M24;M25;M26;M27;M28;M29;M30;M31;M32;M33;M34;M35;M36;M37;M38;M39;M40;M41;M42;M43;M44;M45;M46;M47;M48;M49;M50;M51;M52;M53;M54;M55;M56;M57;M58;M59;M60;M61;M62;M63;M64;M65;M66;M67;M68;M69;M70;M71;M72;M73;M74;M75;M76;M77;M78;M79;M80
BlackPawnA;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.75;0.75;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.33;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;-1.00;-1.00;-1.00;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D
BlackPawnB;1.00;1.00;1.00;1.00;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;1.00;1.00;0.50;0.50;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;1.00;1.00;0.50;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.00;0.00;0.00
BlackPawnC;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.67;0.67;0.67;0.67;0.67;0.67;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;0.33;0.33;0.33;1.00;1.00;0.33;0.00;0.00;0.00
BlackPawnD;1.00;1.00;1.00;1.00;0.75;0.75;0.80;0.80;0.80;0.80;0.80;0.80;0.60;0.60;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.25;0.67;0.67;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.33;-0.33;-0.50;-1.00;-1.00;-0.33;-0.50;-0.75;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D
BlackPawnE;1.00;1.00;0.00;-1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.00;-0.25;0.00;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D
BlackPawnF;1.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;0.33;0.33;0.33;0.33;0.50;0.00;0.33;1.00;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.75;0.25;0.67;0.67;0.67;0.67;0.75;0.75;0.75;0.75;0.67;0.25;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;1.00;1.00;1.00;1.00;0.67;0.67;0.67;0.67;0.75;0.75;0.67;0.67;0.67;0.00;0.00;0.25;0.00;0.00;0.00
BlackPawnG;1.00;1.00;1.00;1.00;1.00;1.00;0.50;0.50;0.33;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.00;0.67;0.50;0.33;0.33;0.33;0.33;0.33;0.33;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.25;0.67;0.50;0.00;0.00;0.00;0.00
BlackPawnH;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;0.00;0.33;0.33;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.50;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;0.00;0.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00;1.00
BlackRookA;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.50;0.50;0.33;0.33;0.25;0.25;0.25;0.25;0.25;0.00;0.14;0.33;0.33;0.33;0.33;0.33;0.00;0.00;0.00;0.00;0.33;0.33;0.40;0.40;0.40;0.40;0.40;0.40;0.33;0.33;0.33;0.33;0.50;0.00;0.00;0.00;0.00;-0.20;-0.20
BlackHorseB;0.50;0.50;0.50;0.50;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.33;0.33;0.20;0.25;0.00;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D
BlackBishopC;0.33;0.33;0.33;0.33;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.67;0.67;0.67;0.67;0.67;0.67;0.67;0.50;0.60;0.60;0.50;0.50;0.50;0.50;0.50;0.50;0.33;0.33;0.25;0.20;0.20;0.20;0.20;0.20;0.20;0.25;0.50;0.17;0.29;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D
BlackQueen;0.17;0.17;0.20;0.20;0.33;0.33;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.29;0.17;0.17;0.29;0.29;0.17;0.17;0.17;0.17;0.29;0.29;0.33;0.33;0.33;0.33;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.20;0.20;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.20;0.50;0.50;0.50;0.50;0.50;0.50;0.00;0.00;0.17;0.17;0.17;0.00;0.00;0.17;0.00;0.00;0.00
BlackKing;0.17;0.17;0.20;0.20;0.20;0.20;0.33;0.33;0.33;0.33;0.50;0.50;0.60;0.60;0.60;0.60;0.60;0.60;0.40;0.40;0.50;0.50;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;-0.25;0.25;0.25;0.25;0.25;0.33;0.33;0.33;0.33;0.33;0.33;0.50;0.50;0.00;0.00;0.50;0.50;0.50;-0.50;-0.50
BlackBishopF;0.33;0.33;0.50;0.50;0.50;0.50;0.67;0.67;0.67;0.67;0.00;0.00;0.25;0.25;0.40;0.40;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.25;0.40;0.17;0.33;0.33;0.33;0.00;-0.50;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D
BlackHorseG;0.50;0.50;1.00;1.00;1.00;1.00;0.33;0.33;0.40;0.40;0.40;0.40;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.50;0.33;0.33;0.50;0.20;0.50;0.50;0.50;0.50;0.50;0.50;0.40;0.40;0.40;0.17;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;-0.20;0.00;0.00;0.20;0.50;0.33;0.00;-0.25;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D
BlackRookH;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.00;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.40;0.50;0.50;0.57;0.57;0.57;0.57;0.50;0.50;0.40;0.40;0.40;0.40;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.33;0.00;0.00;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D;D
Black Overall;0.04;0.04;0.04;0.04;0.04;0.03;0.03;0.03;0.03;0.03;0.02;0.02;0.02;0.02;0.02;0.02;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.03;0.03;0.04;0.02;0.03;0.02;0.02;0.02;0.02;0.04;0.04;0.03;0.03;0.03;0.04;0.03;0.02;0.02;0.02;0.04;0.04;0.03;0.03;0.03;0.03;0.04;0.04;0.04;0.04;0.06;0.06;0.05;0.05;0.04;0.07;0.05;0.07;0.07;0.03;0.03;0.05;0.05;0.06;0.06;0.06;0.06;0.06;0.06;0.06;0.05;0.03;0.01;0.01

Ecosystem balance;0.02;0.02;0.02;0.02;0.02;0.02;0.01;0.02;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.02;0.02;0.02;0.01;0.01;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.01;0.01;0.02;0.01;0.01;0.01;0.01;0.02;0.02;0.01;0.02;0.01;0.01;0.02;0.02;0.02;0.01;0.02;0.02;0.02;0.02;0.02;0.03;0.02;0.03;0.03;0.02;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.03;0.02;0.03;0.02;0.01;0.01;0.01
